geography,date,total
British Columbia (12),2008-04-01T00:00:00Z,102.2
British Columbia (12),2009-04-01T00:00:00Z,93.3
British Columbia (12),2010-04-01T00:00:00Z,97.8
British Columbia (12),2011-04-01T00:00:00Z,96.9
British Columbia (12),2012-04-01T00:00:00Z,96
British Columbia (12),2013-04-01T00:00:00Z,95.3
British Columbia (12),2014-04-01T00:00:00Z,93.9
British Columbia (12),2015-04-01T00:00:00Z,94.2
British Columbia (12),2016-04-01T00:00:00Z,97.7
British Columbia (12),2017-04-01T00:00:00Z,101.5
British Columbia (12),2008-08-01T00:00:00Z,101.8
British Columbia (12),2009-08-01T00:00:00Z,93.6
British Columbia (12),2010-08-01T00:00:00Z,97.2
British Columbia (12),2011-08-01T00:00:00Z,96.7
British Columbia (12),2012-08-01T00:00:00Z,96
British Columbia (12),2013-08-01T00:00:00Z,94.8
British Columbia (12),2014-08-01T00:00:00Z,93.7
British Columbia (12),2015-08-01T00:00:00Z,94.7
British Columbia (12),2016-08-01T00:00:00Z,99.7
British Columbia (12),2017-08-01T00:00:00Z,106.6
British Columbia (12),2007-12-01T00:00:00Z,101.4
British Columbia (12),2008-12-01T00:00:00Z,99
British Columbia (12),2009-12-01T00:00:00Z,96.1
British Columbia (12),2010-12-01T00:00:00Z,96.5
British Columbia (12),2011-12-01T00:00:00Z,96.1
British Columbia (12),2012-12-01T00:00:00Z,95.4
British Columbia (12),2013-12-01T00:00:00Z,94.3
British Columbia (12),2014-12-01T00:00:00Z,93.8
British Columbia (12),2015-12-01T00:00:00Z,95.9
British Columbia (12),2016-12-01T00:00:00Z,100
British Columbia (12),2008-02-01T00:00:00Z,101.6
British Columbia (12),2009-02-01T00:00:00Z,95.4
British Columbia (12),2010-02-01T00:00:00Z,97
British Columbia (12),2011-02-01T00:00:00Z,96.6
British Columbia (12),2012-02-01T00:00:00Z,96.2
British Columbia (12),2013-02-01T00:00:00Z,95.4
British Columbia (12),2014-02-01T00:00:00Z,94.3
British Columbia (12),2015-02-01T00:00:00Z,93.6
British Columbia (12),2016-02-01T00:00:00Z,97.1
British Columbia (12),2017-02-01T00:00:00Z,100
British Columbia (12),2008-01-01T00:00:00Z,101.5
British Columbia (12),2009-01-01T00:00:00Z,98.1
British Columbia (12),2010-01-01T00:00:00Z,96.5
British Columbia (12),2011-01-01T00:00:00Z,96.6
British Columbia (12),2012-01-01T00:00:00Z,96.3
British Columbia (12),2013-01-01T00:00:00Z,95.3
British Columbia (12),2014-01-01T00:00:00Z,94.3
British Columbia (12),2015-01-01T00:00:00Z,93.6
British Columbia (12),2016-01-01T00:00:00Z,96.3
British Columbia (12),2017-01-01T00:00:00Z,99.9
British Columbia (12),2008-07-01T00:00:00Z,101.9
British Columbia (12),2009-07-01T00:00:00Z,93.4
British Columbia (12),2010-07-01T00:00:00Z,97.2
British Columbia (12),2011-07-01T00:00:00Z,97.1
British Columbia (12),2012-07-01T00:00:00Z,96.1
British Columbia (12),2013-07-01T00:00:00Z,95.1
British Columbia (12),2014-07-01T00:00:00Z,93.5
British Columbia (12),2015-07-01T00:00:00Z,94.7
British Columbia (12),2016-07-01T00:00:00Z,99.7
British Columbia (12),2017-07-01T00:00:00Z,106.5
British Columbia (12),2008-06-01T00:00:00Z,101.9
British Columbia (12),2009-06-01T00:00:00Z,92.8
British Columbia (12),2010-06-01T00:00:00Z,97.9
British Columbia (12),2011-06-01T00:00:00Z,97.1
British Columbia (12),2012-06-01T00:00:00Z,96.1
British Columbia (12),2013-06-01T00:00:00Z,94.9
British Columbia (12),2014-06-01T00:00:00Z,93.6
British Columbia (12),2015-06-01T00:00:00Z,94.4
British Columbia (12),2016-06-01T00:00:00Z,99.2
British Columbia (12),2017-06-01T00:00:00Z,104.7
British Columbia (12),2008-03-01T00:00:00Z,102.2
British Columbia (12),2009-03-01T00:00:00Z,94.3
British Columbia (12),2010-03-01T00:00:00Z,97.5
British Columbia (12),2011-03-01T00:00:00Z,96.8
British Columbia (12),2012-03-01T00:00:00Z,96
British Columbia (12),2013-03-01T00:00:00Z,95.2
British Columbia (12),2014-03-01T00:00:00Z,94.2
British Columbia (12),2015-03-01T00:00:00Z,93.6
British Columbia (12),2016-03-01T00:00:00Z,97.4
British Columbia (12),2017-03-01T00:00:00Z,100.5
British Columbia (12),2008-05-01T00:00:00Z,101.9
British Columbia (12),2009-05-01T00:00:00Z,93.6
British Columbia (12),2010-05-01T00:00:00Z,98
British Columbia (12),2011-05-01T00:00:00Z,97.1
British Columbia (12),2012-05-01T00:00:00Z,96
British Columbia (12),2013-05-01T00:00:00Z,95.1
British Columbia (12),2014-05-01T00:00:00Z,93.7
British Columbia (12),2015-05-01T00:00:00Z,94.2
British Columbia (12),2016-05-01T00:00:00Z,98.8
British Columbia (12),2017-05-01T00:00:00Z,103.4
British Columbia (12),2007-11-01T00:00:00Z,101.4
British Columbia (12),2008-11-01T00:00:00Z,99
British Columbia (12),2009-11-01T00:00:00Z,95.6
British Columbia (12),2010-11-01T00:00:00Z,96.6
British Columbia (12),2011-11-01T00:00:00Z,96.3
British Columbia (12),2012-11-01T00:00:00Z,95.7
British Columbia (12),2013-11-01T00:00:00Z,94.5
British Columbia (12),2014-11-01T00:00:00Z,93.8
British Columbia (12),2015-11-01T00:00:00Z,95.8
British Columbia (12),2016-11-01T00:00:00Z,100
British Columbia (12),2007-10-01T00:00:00Z,101.1
British Columbia (12),2008-10-01T00:00:00Z,100.6
British Columbia (12),2009-10-01T00:00:00Z,95.3
British Columbia (12),2010-10-01T00:00:00Z,96.8
British Columbia (12),2011-10-01T00:00:00Z,96.6
British Columbia (12),2012-10-01T00:00:00Z,96.1
British Columbia (12),2013-10-01T00:00:00Z,94.6
British Columbia (12),2014-10-01T00:00:00Z,94
British Columbia (12),2015-10-01T00:00:00Z,95.3
British Columbia (12),2016-10-01T00:00:00Z,100.3
British Columbia (12),2007-09-01T00:00:00Z,100.5
British Columbia (12),2008-09-01T00:00:00Z,101.8
British Columbia (12),2009-09-01T00:00:00Z,94.8
British Columbia (12),2010-09-01T00:00:00Z,96.8
British Columbia (12),2011-09-01T00:00:00Z,96.8
British Columbia (12),2012-09-01T00:00:00Z,95.9
British Columbia (12),2013-09-01T00:00:00Z,94.8
British Columbia (12),2014-09-01T00:00:00Z,93.7
British Columbia (12),2015-09-01T00:00:00Z,95.1
British Columbia (12),2016-09-01T00:00:00Z,100
British Columbia (12),2017-09-01T00:00:00Z,107.3
Canada,2008-04-01T00:00:00Z,88.1
Canada,2009-04-01T00:00:00Z,85.5
Canada,2010-04-01T00:00:00Z,87.6
Canada,2011-04-01T00:00:00Z,89.2
Canada,2012-04-01T00:00:00Z,91.5
Canada,2013-04-01T00:00:00Z,93.2
Canada,2014-04-01T00:00:00Z,94.7
Canada,2015-04-01T00:00:00Z,95.7
Canada,2016-04-01T00:00:00Z,97.7
Canada,2017-04-01T00:00:00Z,101.5
Canada,2008-08-01T00:00:00Z,88.2
Canada,2009-08-01T00:00:00Z,85.5
Canada,2010-08-01T00:00:00Z,88
Canada,2011-08-01T00:00:00Z,90
Canada,2012-08-01T00:00:00Z,92.1
Canada,2013-08-01T00:00:00Z,93.7
Canada,2014-08-01T00:00:00Z,95.2
Canada,2015-08-01T00:00:00Z,96.5
Canada,2016-08-01T00:00:00Z,99.1
Canada,2017-08-01T00:00:00Z,102.9
Canada,2007-12-01T00:00:00Z,87.1
Canada,2008-12-01T00:00:00Z,87.5
Canada,2009-12-01T00:00:00Z,86.7
Canada,2010-12-01T00:00:00Z,88.4
Canada,2011-12-01T00:00:00Z,90.7
Canada,2012-12-01T00:00:00Z,92.7
Canada,2013-12-01T00:00:00Z,93.9
Canada,2014-12-01T00:00:00Z,95.5
Canada,2015-12-01T00:00:00Z,97
Canada,2016-12-01T00:00:00Z,100
Canada,2008-02-01T00:00:00Z,87.9
Canada,2009-02-01T00:00:00Z,86.4
Canada,2010-02-01T00:00:00Z,87.1
Canada,2011-02-01T00:00:00Z,89
Canada,2012-02-01T00:00:00Z,91
Canada,2013-02-01T00:00:00Z,93
Canada,2014-02-01T00:00:00Z,94.4
Canada,2015-02-01T00:00:00Z,95.6
Canada,2016-02-01T00:00:00Z,97.3
Canada,2017-02-01T00:00:00Z,100.5
Canada,2008-01-01T00:00:00Z,87.6
Canada,2009-01-01T00:00:00Z,87
Canada,2010-01-01T00:00:00Z,87.1
Canada,2011-01-01T00:00:00Z,88.6
Canada,2012-01-01T00:00:00Z,90.8
Canada,2013-01-01T00:00:00Z,92.8
Canada,2014-01-01T00:00:00Z,94.1
Canada,2015-01-01T00:00:00Z,95.5
Canada,2016-01-01T00:00:00Z,97.1
Canada,2017-01-01T00:00:00Z,100.1
Canada,2008-07-01T00:00:00Z,88.2
Canada,2009-07-01T00:00:00Z,85.4
Canada,2010-07-01T00:00:00Z,87.9
Canada,2011-07-01T00:00:00Z,89.9
Canada,2012-07-01T00:00:00Z,92
Canada,2013-07-01T00:00:00Z,93.6
Canada,2014-07-01T00:00:00Z,94.9
Canada,2015-07-01T00:00:00Z,96.2
Canada,2016-07-01T00:00:00Z,99
Canada,2017-07-01T00:00:00Z,102.8
Canada,2008-06-01T00:00:00Z,88.2
Canada,2009-06-01T00:00:00Z,85.2
Canada,2010-06-01T00:00:00Z,88
Canada,2011-06-01T00:00:00Z,89.8
Canada,2012-06-01T00:00:00Z,91.9
Canada,2013-06-01T00:00:00Z,93.5
Canada,2014-06-01T00:00:00Z,94.9
Canada,2015-06-01T00:00:00Z,96.1
Canada,2016-06-01T00:00:00Z,98.6
Canada,2017-06-01T00:00:00Z,102.4
Canada,2008-03-01T00:00:00Z,88.1
Canada,2009-03-01T00:00:00Z,86
Canada,2010-03-01T00:00:00Z,87.4
Canada,2011-03-01T00:00:00Z,89
Canada,2012-03-01T00:00:00Z,91.3
Canada,2013-03-01T00:00:00Z,93
Canada,2014-03-01T00:00:00Z,94.5
Canada,2015-03-01T00:00:00Z,95.7
Canada,2016-03-01T00:00:00Z,97.5
Canada,2017-03-01T00:00:00Z,100.7
Canada,2008-05-01T00:00:00Z,88.1
Canada,2009-05-01T00:00:00Z,85.4
Canada,2010-05-01T00:00:00Z,87.9
Canada,2011-05-01T00:00:00Z,89.6
Canada,2012-05-01T00:00:00Z,91.7
Canada,2013-05-01T00:00:00Z,93.4
Canada,2014-05-01T00:00:00Z,94.8
Canada,2015-05-01T00:00:00Z,95.9
Canada,2016-05-01T00:00:00Z,98.5
Canada,2017-05-01T00:00:00Z,102.2
Canada,2007-11-01T00:00:00Z,87
Canada,2008-11-01T00:00:00Z,87.7
Canada,2009-11-01T00:00:00Z,86.4
Canada,2010-11-01T00:00:00Z,88.4
Canada,2011-11-01T00:00:00Z,90.6
Canada,2012-11-01T00:00:00Z,92.6
Canada,2013-11-01T00:00:00Z,93.9
Canada,2014-11-01T00:00:00Z,95.5
Canada,2015-11-01T00:00:00Z,96.9
Canada,2016-11-01T00:00:00Z,99.9
Canada,2007-10-01T00:00:00Z,86.6
Canada,2008-10-01T00:00:00Z,87.9
Canada,2009-10-01T00:00:00Z,86.1
Canada,2010-10-01T00:00:00Z,88.2
Canada,2011-10-01T00:00:00Z,90.3
Canada,2012-10-01T00:00:00Z,92.5
Canada,2013-10-01T00:00:00Z,93.8
Canada,2014-10-01T00:00:00Z,95.4
Canada,2015-10-01T00:00:00Z,96.8
Canada,2016-10-01T00:00:00Z,99.7
Canada,2007-09-01T00:00:00Z,86.5
Canada,2008-09-01T00:00:00Z,88.3
Canada,2009-09-01T00:00:00Z,85.9
Canada,2010-09-01T00:00:00Z,88.1
Canada,2011-09-01T00:00:00Z,90.1
Canada,2012-09-01T00:00:00Z,92.3
Canada,2013-09-01T00:00:00Z,93.8
Canada,2014-09-01T00:00:00Z,95.3
Canada,2015-09-01T00:00:00Z,96.6
Canada,2016-09-01T00:00:00Z,99.3
Canada,2017-09-01T00:00:00Z,103.1
"Kelowna, British Columbia [59915]",2008-04-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2009-04-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2010-04-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2011-04-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2012-04-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2013-04-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2014-04-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2015-04-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2016-04-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2017-04-01T00:00:00Z,100.1
"Kelowna, British Columbia [59915]",2008-08-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2009-08-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2010-08-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2011-08-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2012-08-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2013-08-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2014-08-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2015-08-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2016-08-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2017-08-01T00:00:00Z,102.5
"Kelowna, British Columbia [59915]",2007-12-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2008-12-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2009-12-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2010-12-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2011-12-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2012-12-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2013-12-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2014-12-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2015-12-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2016-12-01T00:00:00Z,100
"Kelowna, British Columbia [59915]",2008-02-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2009-02-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2010-02-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2011-02-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2012-02-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2013-02-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2014-02-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2015-02-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2016-02-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2017-02-01T00:00:00Z,100.1
"Kelowna, British Columbia [59915]",2008-01-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2009-01-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2010-01-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2011-01-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2012-01-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2013-01-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2014-01-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2015-01-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2016-01-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2017-01-01T00:00:00Z,100
"Kelowna, British Columbia [59915]",2008-07-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2009-07-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2010-07-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2011-07-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2012-07-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2013-07-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2014-07-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2015-07-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2016-07-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2017-07-01T00:00:00Z,101.6
"Kelowna, British Columbia [59915]",2008-06-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2009-06-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2010-06-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2011-06-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2012-06-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2013-06-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2014-06-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2015-06-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2016-06-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2017-06-01T00:00:00Z,100.7
"Kelowna, British Columbia [59915]",2008-03-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2009-03-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2010-03-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2011-03-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2012-03-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2013-03-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2014-03-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2015-03-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2016-03-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2017-03-01T00:00:00Z,100.1
"Kelowna, British Columbia [59915]",2008-05-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2009-05-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2010-05-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2011-05-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2012-05-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2013-05-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2014-05-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2015-05-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2016-05-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2017-05-01T00:00:00Z,100.7
"Kelowna, British Columbia [59915]",2007-11-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2008-11-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2009-11-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2010-11-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2011-11-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2012-11-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2013-11-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2014-11-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2015-11-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2016-11-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2007-10-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2008-10-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2009-10-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2010-10-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2011-10-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2012-10-01T00:00:00Z,NA
